"","2015 rank","City","State","2015 Estimate","2011 Census","Change","2015 land area","2015 population density","Location"
"1",1,"Berlin","Berlin","3,520,031","3,292,365","7000691496841935810<U+2660>+6.91%","891.68 km2
344.28 sq mi","3,948/km2
10,230/sq mi","52°31'N 13°23'E<U+FEFF> / <U+FEFF>52.517°N 13.383°E<U+FEFF> / 52.517; 13.383<U+FEFF> (1 Berlin)"
"2",2,"Hamburg","Hamburg","1,787,408","1,706,696","7000472913746794980<U+2660>+4.73%","755.3 km2
291.6 sq mi","2,366/km2
6,130/sq mi","53°33'N 10°0'E<U+FEFF> / <U+FEFF>53.550°N 10.000°E<U+FEFF> / 53.550; 10.000<U+FEFF> (2 Hamburg)"
"3",3,"Munich (München)","Bavaria","1,450,381","1,348,335","7000756829719617160<U+2660>+7.57%","310.7 km2
120.0 sq mi","4,668/km2
12,090/sq mi","48°8'N 11°34'E<U+FEFF> / <U+FEFF>48.133°N 11.567°E<U+FEFF> / 48.133; 11.567<U+FEFF> (3 Munich)"
"4",4,"Cologne (Köln)","North Rhine-Westphalia","1,060,582","1,005,775","7000544923069274940<U+2660>+5.45%","405.02 km2
156.38 sq mi","2,619/km2
6,780/sq mi","50°56'N 6°57'E<U+FEFF> / <U+FEFF>50.933°N 6.950°E<U+FEFF> / 50.933; 6.950<U+FEFF> (4 Cologne)"
"5",5,"Frankfurt am Main","Hesse","732,688","667,925","7000969614851966910<U+2660>+9.70%","248.31 km2
95.87 sq mi","2,951/km2
7,640/sq mi","50°7'N 8°41'E<U+FEFF> / <U+FEFF>50.117°N 8.683°E<U+FEFF> / 50.117; 8.683<U+FEFF> (5 Frankfurt)"
"6",6,"Stuttgart","Baden-Württemberg","623,738","585,890","7000645991568383140<U+2660>+6.46%","207.35 km2
80.06 sq mi","3,008/km2
7,790/sq mi","48°47'N 9°11'E<U+FEFF> / <U+FEFF>48.783°N 9.183°E<U+FEFF> / 48.783; 9.183<U+FEFF> (6 Stuttgart)"
"7",7,"Düsseldorf","North Rhine-Westphalia","612,178","586,291","7000441538416929480<U+2660>+4.42%","217.41 km2
83.94 sq mi","2,816/km2
7,290/sq mi","51°14'N 6°47'E<U+FEFF> / <U+FEFF>51.233°N 6.783°E<U+FEFF> / 51.233; 6.783<U+FEFF> (7 Düsseldorf)"
"8",8,"Dortmund","North Rhine-Westphalia","586,181","571,143","7000263296582467090<U+2660>+2.63%","280.71 km2
108.38 sq mi","2,088/km2
5,410/sq mi","51°31'N 7°28'E<U+FEFF> / <U+FEFF>51.517°N 7.467°E<U+FEFF> / 51.517; 7.467<U+FEFF> (8 Dortmund)"
"9",9,"Essen","North Rhine-Westphalia","582,624","566,201","7000290056004846340<U+2660>+2.90%","210.34 km2
81.21 sq mi","2,770/km2
7,200/sq mi","51°27'N 7°1'E<U+FEFF> / <U+FEFF>51.450°N 7.017°E<U+FEFF> / 51.450; 7.017<U+FEFF> (9 Essen)"
"10",10,"Leipzig","Saxony","560,472","502,979","7001114304970982880<U+2660>+11.43%","297.8 km2
115.0 sq mi","1,882/km2
4,870/sq mi","51°20'N 12°23'E<U+FEFF> / <U+FEFF>51.333°N 12.383°E<U+FEFF> / 51.333; 12.383<U+FEFF> (10 Leipzig)"
"11",11,"Bremen","Bremen","557,464","542,707","7000271914679560060<U+2660>+2.72%","326.18 km2
125.94 sq mi","1,709/km2
4,430/sq mi","53°5'N 8°48'E<U+FEFF> / <U+FEFF>53.083°N 8.800°E<U+FEFF> / 53.083; 8.800<U+FEFF> (11 Bremen)"
"12",12,"Dresden","Saxony","543,825","512,354","7000614243277109190<U+2660>+6.14%","328.48 km2
126.83 sq mi","1,656/km2
4,290/sq mi","51°2'N 13°44'E<U+FEFF> / <U+FEFF>51.033°N 13.733°E<U+FEFF> / 51.033; 13.733<U+FEFF> (12 Dresden)"
"13",13,"Hanover (Hannover)","Lower Saxony","532,163","506,416","7000508416005813399<U+2660>+5.08%","204.14 km2
78.82 sq mi","2,607/km2
6,750/sq mi","52°22'N 9°43'E<U+FEFF> / <U+FEFF>52.367°N 9.717°E<U+FEFF> / 52.367; 9.717<U+FEFF> (13 Hanover)"
"14",14,"Nuremberg (Nürnberg)","Bavaria","509,975","486,314","7000486537504575230<U+2660>+4.87%","186.38 km2
71.96 sq mi","2,736/km2
7,090/sq mi","49°27'N 11°5'E<U+FEFF> / <U+FEFF>49.450°N 11.083°E<U+FEFF> / 49.450; 11.083<U+FEFF> (14 Nuremberg)"
"15",15,"Duisburg","North Rhine-Westphalia","491,231","488,468","6999565646060745030<U+2660>+0.57%","232.8 km2
89.9 sq mi","2,110/km2
5,500/sq mi","51°26'N 6°46'E<U+FEFF> / <U+FEFF>51.433°N 6.767°E<U+FEFF> / 51.433; 6.767<U+FEFF> (15 Duisburg)"
"16",16,"Bochum","North Rhine-Westphalia","364,742","362,286","6999677917446437350<U+2660>+0.68%","145.66 km2
56.24 sq mi","2,504/km2
6,490/sq mi","51°29'N 7°13'E<U+FEFF> / <U+FEFF>51.483°N 7.217°E<U+FEFF> / 51.483; 7.217<U+FEFF> (16 Bochum)"
"17",17,"Wuppertal","North Rhine-Westphalia","350,046","342,661","7000215519128234610<U+2660>+2.16%","168.39 km2
65.02 sq mi","2,079/km2
5,380/sq mi","51°16'N 7°11'E<U+FEFF> / <U+FEFF>51.267°N 7.183°E<U+FEFF> / 51.267; 7.183<U+FEFF> (17 Wuppertal)"
"18",18,"Bielefeld","North Rhine-Westphalia","333,090","326,870","7000190289717624740<U+2660>+1.90%","258.82 km2
99.93 sq mi","1,287/km2
3,330/sq mi","52°1'N 8°32'E<U+FEFF> / <U+FEFF>52.017°N 8.533°E<U+FEFF> / 52.017; 8.533<U+FEFF> (18 Bielefeld)"
"19",19,"Bonn","North Rhine-Westphalia","318,809","305,765","7000426602129086060<U+2660>+4.27%","141.06 km2
54.46 sq mi","2,260/km2
5,900/sq mi","50°44'N 7°6'E<U+FEFF> / <U+FEFF>50.733°N 7.100°E<U+FEFF> / 50.733; 7.100<U+FEFF> (19 Bonn)"
"20",20,"Münster","North Rhine-Westphalia","310,039","289,576","7000706653866342510<U+2660>+7.07%","303.28 km2
117.10 sq mi","1,022/km2
2,650/sq mi","51°58'N 7°38'E<U+FEFF> / <U+FEFF>51.967°N 7.633°E<U+FEFF> / 51.967; 7.633<U+FEFF> (20 Münster)"
"21",21,"Karlsruhe","Baden-Württemberg","307,755","289,173","7000642591113278210<U+2660>+6.43%","173.46 km2
66.97 sq mi","1,774/km2
4,590/sq mi","49°0'N 8°24'E<U+FEFF> / <U+FEFF>49.000°N 8.400°E<U+FEFF> / 49.000; 8.400<U+FEFF> (21 Karlsruhe)"
"22",22,"Mannheim","Baden-Württemberg","305,780","290,117","7000539885632348330<U+2660>+5.40%","144.96 km2
55.97 sq mi","2,109/km2
5,460/sq mi","49°29'N 8°28'E<U+FEFF> / <U+FEFF>49.483°N 8.467°E<U+FEFF> / 49.483; 8.467<U+FEFF> (22 Mannheim)"
"23",23,"Augsburg","Bavaria","286,374","267,767","7000694895188727510<U+2660>+6.95%","146.86 km2
56.70 sq mi","1,950/km2
5,100/sq mi","48°22'N 10°54'E<U+FEFF> / <U+FEFF>48.367°N 10.900°E<U+FEFF> / 48.367; 10.900<U+FEFF> (23 Augsburg)"
"24",24,"Wiesbaden","Hesse","276,218","269,121","7000263710375630290<U+2660>+2.64%","203.93 km2
78.74 sq mi","1,354/km2
3,510/sq mi","50°5'N 8°14'E<U+FEFF> / <U+FEFF>50.083°N 8.233°E<U+FEFF> / 50.083; 8.233<U+FEFF> (24 Wiesbaden)"
"25",25,"Gelsenkirchen","North Rhine-Westphalia","260,368","258,766","6999619092152755770<U+2660>+0.62%","104.94 km2
40.52 sq mi","2,481/km2
6,430/sq mi","51°31'N 7°6'E<U+FEFF> / <U+FEFF>51.517°N 7.100°E<U+FEFF> / 51.517; 7.100<U+FEFF> (25 Gelsenkirchen)"
"26",26,"Mönchengladbach","North Rhine-Westphalia","259,996","255,188","7000188410113328210<U+2660>+1.88%","170.47 km2
65.82 sq mi","1,525/km2
3,950/sq mi","51°12'N 6°26'E<U+FEFF> / <U+FEFF>51.200°N 6.433°E<U+FEFF> / 51.200; 6.433<U+FEFF> (26 Mönchengladbach)"
"27",27,"Braunschweig","Lower Saxony","251,364","242,537","7000363944470328240<U+2660>+3.64%","192.18 km2
74.20 sq mi","1,308/km2
3,390/sq mi","52°16'N 10°31'E<U+FEFF> / <U+FEFF>52.267°N 10.517°E<U+FEFF> / 52.267; 10.517<U+FEFF> (27 Braunschweig)"
"28",28,"Chemnitz","Saxony","248,645","240,253","7000349298447886190<U+2660>+3.49%","221.05 km2
85.35 sq mi","1,125/km2
2,910/sq mi","50°50'N 12°55'E<U+FEFF> / <U+FEFF>50.833°N 12.917°E<U+FEFF> / 50.833; 12.917<U+FEFF> (28 Chemnitz)"
"29",29,"Kiel","Schleswig-Holstein","246,306","235,782","7000446344504669570<U+2660>+4.46%","118.65 km2
45.81 sq mi","2,076/km2
5,380/sq mi","54°20'N 10°8'E<U+FEFF> / <U+FEFF>54.333°N 10.133°E<U+FEFF> / 54.333; 10.133<U+FEFF> (29 Kiel)"
"30",30,"Aachen","North Rhine-Westphalia","245,885","236,420","7000400346840368830<U+2660>+4.00%","160.85 km2
62.10 sq mi","1,529/km2
3,960/sq mi","50°47'N 6°5'E<U+FEFF> / <U+FEFF>50.783°N 6.083°E<U+FEFF> / 50.783; 6.083<U+FEFF> (30 Aachen)"
"31",31,"Halle (Saale)","Saxony-Anhalt","236,991","229,153","7000342042216335810<U+2660>+3.42%","135.02 km2
52.13 sq mi","1,755/km2
4,550/sq mi","51°29'N 11°58'E<U+FEFF> / <U+FEFF>51.483°N 11.967°E<U+FEFF> / 51.483; 11.967<U+FEFF> (31 Halle (Saale))"
